"","Agricultura, valor agregado (% del PIB)","PIB per cápita (US$ a precios actuales)","Ahorro bruto (% del PIB)","Desempleo, total (% de la población activa total) (estimación modelado OIT)","pc1_economia","pc2_economia"
"NZL",5.69406762850258,45241.784878792,20.0790018070871,3.904,28128.0539431542,-1263.86916442238
"OED",1.40647714900076,40721.8505777946,23.0477140939746,5.70831947739696,18562.9594865247,-9559.74852463136
"OMN",2.05501117387219,20058.722183154,19.7905508356828,1.9834,-2817.56633443126,17751.9297772542
"OSS",2.18312371997611,13863.2138884595,37.2229642386531,9.51818291362182,-8586.73990802008,-5545.53057075701
"PAK",21.8395320471944,1495.0422663603,12.4413277494098,5.7394,920.640899957807,-48.2267642506694
"PAN",2.58950864136654,15754.2315326636,30.1614869860262,9.3628,7175.38185509859,-3682.52713738258
"PER",7.29722112859595,6738.58116286653,19.7030387342925,4.6032,-949.192364232759,5956.74670934463
"PHL",9.65485821228722,3358.39874882475,26.6129537708484,2.5558,-2070.38513177781,-1335.88749501997
"PNG",17.7254387753678,2672.94301517523,28.9298471350702,2.9064,1663.31338806826,-85.7814168307097
"POL",2.48696265873924,16751.925369942,20.1977845600123,3.0988,7635.54567201218,-3923.50014886057
"PRT",2.06083595035184,23662.4421135825,18.5920964502811,6.464,-3318.41416826929,20943.0866412612
"PRY",10.5246724272423,5903.32915279165,21.8530957842947,6.7658,-3652.83936580905,-2353.74560809714
"PSE",6.9745132793393,3584.14429496094,14.3428376285514,25.66,2226.57388805435,-83.2883843278917
"PSS",16.3735380830577,3954.44943947123,19.9950228313931,3.67984907268505,1808.29226858592,-914.315555211181
"PST",1.24411931173066,47121.3441384288,23.1574683591026,5.28426004479975,-6605.68875292413,41712.4542458727
"QAT",0.27424329911883,67185.4660138494,49.3279145090441,0.1284,-41715.0303298062,-26870.0284591111
"ROU",4.42884461043048,13846.6612120923,18.8501818710065,5.1512,8612.41819626001,-387.378096065918
"RUS",3.74046537714395,12164.1623046875,28.7312439513944,4.3672,5542.35691415938,-2837.43866829778
"RWA",24.7702497804762,827.244241699542,13.5072392551772,13.777,-104.315644672707,720.846536675814
"SAS",16.8618315925637,2032.53784153511,28.48216915367,6.0193141980671,-1244.82840626692,-800.133609002789
"SAU",2.61630152435547,24548.5705318635,32.5747726031806,6.0614,15272.1451556028,-687.204512472181
"SDN",14.7733470880033,795.613171386719,4.14700139922883,18.8616,359.676884282448,-191.412135397565
"SEN",15.3979646387127,1534.33357561535,24.2671301319769,3.0994,-220.877309734243,1345.11591648577
"SGP",0.0309611005226996,70939.7437533173,41.8785875546598,3.7258,-44050.7083315768,-28372.2963058438
"SLB",33.6973641467643,2301.90136309195,14.3335191523829,1.1542,1416.33350864609,-79.9509609135846
"SLE",58.8942360270827,500.021226731655,-0.905197699288807,3.3802,262.641879791432,-121.399599059654
"SLV",5.04602386824923,4435.9020558938,16.4255626391824,3.8552,-626.362057192105,3919.77086387918
"SRB",6.27872669572789,8234.81164355156,19.8797012733489,9.196,-5101.03112243056,-3290.43006205317
"SSD",7.6880828458825,1309.2699985806,10.6134435205324,13.1938,812.078210163001,-30.3619499671791
"SST",2.81985889686978,12668.7392338608,35.953798146518,8.81590302557264,5768.09285970013,-2951.47432552846
"SUR",8.74469385915097,5820.62384298175,51.4959677666917,8.2114,-837.56570988704,5130.81381452056
"SVK",1.91953818480327,20289.0664878371,22.4566932615271,6.2676,-12590.0700210469,-8114.42032666773
"SVN",1.97494808543939,27099.0042658036,25.9888385326173,4.3416,16855.1696800452,-757.970624696689
"SWE",1.37320404748602,55441.671936744,31.2562477398784,7.793,25272.6225348677,-13015.4348510533
"SWZ",8.38429657770911,3853.67022072578,17.5223454494652,23.3018,-531.943245300351,3402.48593759277
"SYR",36.97010874438,811.284929735434,14.4279409115733,14.2136,-493.816634935233,-295.460668640707
"TCD",25.4190357529868,693.63064286413,6.9175491160233,1.2848,418.351772685469,-29.9778937135597
"TEA",7.93993608775692,8927.56570084849,42.2366257079298,4.18156921470398,4067.32875471051,-2064.27166821499
"TEC",4.98613919992515,9543.57655944824,26.3745333125849,6.24652775377252,-1345.96006763357,8438.17394803858
"TGO",19.6494784155019,905.575003609436,16.4860334052601,3.981,-553.366240036404,-346.155868211354
"THA",8.51123074601258,7145.15485909608,29.1042755225405,0.972,4449.3839096936,-208.435185879187
"TJK",21.2123691705794,912.580402038485,35.60940821258,7.1132,419.912018315814,-186.546501794721
"TLA",6.51691396149748,8436.96525980559,17.1684567081955,8.22065309199607,-1183.43224135384,7461.62543246711
"TLS",12.7593929634348,1923.8098824365,35.0527446021373,2.3572,-1174.28159501092,-759.605119145989
"TMN",10.1006955087886,3540.31807727129,22.7006910630633,11.3531479208927,2203.20190937129,-97.9510614193445
"TON",17.5295277536637,4585.55818471312,20.0746629927606,2.3546,2097.6039920166,-1062.18486404663
"TSA",16.8618315925637,2032.53784153511,28.48216915367,6.0193141980671,-290.742933300769,1784.12434306476
"TUN",10.0030736292409,3621.46681000287,8.7755568068275,17.9554,-2237.95719855419,-1443.91067398516
"TUR",6.17480017865494,9568.14670019619,28.4252013815569,13.67,5954.91740303793,-263.596680950569
"TZA",27.868599477377,1101.09896240235,32.2375685886678,2.65,513.257816370745,-232.272309864404
"UGA",23.5956723896914,862.179122381898,21.4386433566596,3.226,-121.227608154031,749.176813661277
"UKR",9.5045686047564,3974.31577148438,13.5005208354909,9.16,-2458.20378314189,-1583.52664366856
"UMC",6.82647146880768,9536.97034596271,34.1911983542017,5.90912254054938,5938.84826196195,-271.216602591968
"URY",6.83343022106671,18298.7896711011,15.4314636903987,8.9216,8340.65509971464,-4293.99462203891
"USA",0.919599259990692,67604.2786246262,18.9154894025227,4.8736,-9470.26889042639,59850.227323413
"UZB",24.7764104773557,1881.46870267971,34.8045244638154,4.8924,-1148.65306717418,-732.621266056558
"VEN",5.06677350066963,13183.5330176827,31.432955121632,6.4218,8205.37104975187,-370.994549960449
"VNM",12.236815725635,3652.93337096552,32.0984152171584,1.8708,1667.66180756909,-831.843280675277
"VUT",23.3960250766973,3069.4213980174,44.3803295421591,4.9452,-443.432695836827,2694.33629069947
"WLD",4.19071106267898,11708.7189377316,26.6185598321812,5.72991259918151,-7256.64396134012,-4680.93919889778
"WSM",9.52678636649756,4028.66515619961,36.075962931285,10.0194,2513.40818573592,-115.652512803438
