"","Consumo de energía renovable (% del consumo total de energía final)","Consumo de energía procedente de combustibles fósiles (% del total)","Emisiones de CO2 (toneladas métricas per cápita)","Electric power consumption (kWh per capita)","pc1_ambiental","pc2_ambiental"
"CHN",13.686,88.2961294296839,7.45328138317549,3473.57940966312,1946.84501621228,1344.00873598817
"CIV",63.062,24.385974935151,0.408421035806887,226.140889233398,124.615373431404,-137.144152631459
"CMR",78.852,34.0550413047391,0.376966719850652,263.940268252463,59.2724594488785,-214.914882408372
"COD",97.03,3.83480543558179,0.0324197061441788,106.965823356924,-5.04066064884514,-0.46440234816808
"COG",69.948,40.4387159454538,1.14650442140072,176.05674724595,145.919888153929,15.8658962935545
"COL",31.272,76.3338478589486,1.61186841203753,1213.7864397817,600.564428891991,-483.633971476571
"CRI",34.084,48.5847222791129,1.56023707782301,1900.35246002649,619.854625551489,-1434.1951913146
"CSS",7.54487520460695,97.0579185791453,4.93810695400271,2922.23847609063,-1598.05077057275,-1092.46830772598
"CUB",22.452,87.6101544818163,2.27521468337384,1374.40951902289,796.533055116168,486.012288147348
"CYP",12.044,95.3906538183929,5.86954838994186,3941.35180224046,2007.9976109986,-1447.13873276577
"CZE",15.36,77.3366221388498,9.32930080294978,6299.08116855873,2065.8995253086,-4754.26578890548
"DEU",16.234,80.1313555485351,9.07297238768971,7213.75187036124,-4030.36142450877,-2638.56675671243
"DNK",35.704,74.8222782100362,6.16973434054759,6086.05318394239,3395.37104780171,2413.7243339012
"DOM",15.942,86.0080017707066,2.27062024744577,1482.99819476426,730.875511632284,-571.267813117996
"DZA",0.144,99.8965019021241,3.86088785369037,1208.26467995456,445.846799702189,-876.931592574088
"EAP",15.455776119253,85.7047213561449,5.76230404868523,2712.79616875796,-1480.76804559627,-1010.0426125923
"EAR",23.5216016082325,81.2590940626439,2.16948349630712,1076.3522639572,630.742260921159,368.764189970993
"EAS",13.9513549732247,86.8690394588267,6.09171973037545,3390.06088149653,1726.13363049466,-1248.76439885236
"ECA",5.96808680532233,89.0101853575444,7.19730978011057,4291.35768967114,1430.44449523082,-3222.76539435978
"ECS",13.6887245075864,80.2106162791072,6.57049955439008,5473.72942596807,-3047.42841422762,-2008.24546674839
"ECU",17.192,86.7623998944242,2.26774096056086,1266.45115237481,733.988145071704,444.445904717312
"EGY",5.554,97.4419943089653,2.21601391801173,1575.26358062209,769.133308697791,-600.460128131847
"EMU",17.5750041160774,70.8497940126306,6.5459270966135,6736.81935880033,2200.4840862485,-5088.68601888085
"ERI",81.058,22.3473757108299,0.187658959633562,91.9344343212291,4.36323866798314,-8.27036284988716
"ESP",16.964,73.7092511358453,5.19092586497677,5706.56306279914,3176.52572574018,2266.63021565411
"EST",30.936,16.6365727390376,9.92627069097603,6581.42528938676,3437.34677443681,-2373.04034722836
"ETH",89.864,5.30363482186527,0.150885706337806,57.236019824416,-29.4535440206052,-73.8036263561025
"EUU",18.8871370464576,71.0576002487123,6.2241884701263,6205.43703201512,-3463.69600667174,-2267.30624623152
"FCS",58.8573258891324,45.5704381931955,0.889945052111849,647.63946212628,401.989840025326,208.608969360096
"FIN",44.854,46.9886280150822,7.63358792826494,16484.0942753711,8586.2999190837,-5927.82475162858
"FRA",15.196,47.7892977649827,4.48715148619793,7327.52123908689,2378.13237545858,-5544.47248972748
"GAB",88.204,24.1344583730194,2.51564047869727,983.934927462484,-495.014553955792,-330.45568657422
"GBR",10.294,85.5631857323452,5.82450269116313,5700.85586444268,3173.3569354245,2257.4599618728
"GEO",26.042,70.6150530321083,2.6980882466874,2372.18367207271,1206.66780944348,-890.359149912861
"GHA",43.096,51.4310967787942,0.542298103095509,321.597143863481,107.738067224652,-238.666875956861
"GRC",17.85,90.8529640366756,5.76698375238018,5269.85441039004,-2924.42137374955,-1935.97662931769
"GTM",64.106,32.8979778878715,1.07633387275385,567.337668042103,356.260077766172,183.485790577387
"HIC",12.6334929332643,81.7484914615984,10.0676452260296,9157.49037663733,4737.74687995527,-3301.54881673519
"HND",48.668,51.7261412224723,0.978352147282625,625.298204448727,202.706482603334,-471.032112420617
"HPC",75.7095487826446,20.716405759257,0.277442361600213,196.803901881549,-58.7786790775078,-47.8797168218234
"HRV",31.684,72.635348197554,4.04176915072698,3922.31086688238,2200.57444002282,1533.95330039339
"HTI",76.246,18.8996049277896,0.314036533462437,37.4665576475405,33.5435669980603,-77.8953668196416
"HUN",14.378,70.4744113981544,4.80451530854714,3911.28569719199,1291.9045981311,-2944.29305705327
"IBD",16.8794904198993,85.1653970145915,4.33862192648586,2227.95465933658,-1206.23290242256,-832.787116219772
"IBT",22.3371762200185,82.290342306811,3.34964613286448,1816.52293299588,1037.95762276521,670.250009648901
"IDA",64.1044094759439,36.7353637419197,0.53599268635026,310.796552825832,162.166310099857,-172.547174941661
"IDB",61.0783494811292,41.4941701837615,0.835970525389267,365.75470738803,106.441043016297,-282.822479931932
"IDN",23.296,65.8313689877724,2.04813197080302,1007,-522.277432157319,-379.826115264849
"IDX",66.9673311590141,31.2114184451758,0.386710564365012,275.240940404163,196.522012977091,64.7066187809607
"IND",33.48,72.2315861709671,1.69381272726056,720.732210908087,346.58055960444,-307.916906900197
"IRL",11.114,86.2472832511792,8.2033757874051,5721.44712687918,1886.74388241479,-4310.6352335847
"IRN",1.01,99.23363632958,7.28666560652904,2726.44610572642,-1488.91794241225,-1026.86198949646
"IRQ",0.824,97.0931748509763,3.99669644049001,1215.31123463953,699.598838890873,420.939879722189
"ISL",81.414,10.6414459540087,4.86824728192011,53129.6546317397,27722.8938236685,-19015.1153653915
"ISR",4.366,95.7698139113381,7.07859930194071,6875.75420199633,2266.69230335185,-5179.28296229168
"ITA",17.112,81.0330729790981,5.49824437749353,5313.56929278477,-2954.78344369984,-1948.38624497902
"JAM",10.324,81.6693349687099,2.67464779543108,1137.58281824858,657.473251971239,397.983404186718
"JOR",7.32,97.1776646690506,2.29484885869952,2009.78744521928,996.441026586346,-756.667578886556
"JPN",7.354,93.290944093659,9.16671440712644,8594.90903412197,2817.95721628568,-6485.85741132052
"KAZ",2.07,98.9923806914104,11.5017522110213,5149.4153776041,-2858.84854169721,-1906.1018057619
"KEN",71.53,18.2471930786126,0.391127841040314,156.775124582267,129.398065179853,24.5297375965986
"KGZ",25.726,72.4345029690734,1.56684029974527,1731.66480634481,870.966995045199,-662.764648727994
"KHM",55.386,29.465386195781,0.921564717549088,202.020304390268,50.3842814870649,-161.53658128128
"KOR",3.088,82.711016701395,11.8478934714134,10206.509597191,-5729.70012473677,-3729.65556921181
"KWT",0.044,94.6333319498865,21.6498306445965,15777.336314523,8718.67534251456,6363.56526808204
"LAC",31.7768916705519,75.8725566044491,2.5359465068338,1981.43484021451,1001.72398380377,-757.295167919035
"LBN",4.904,96.0446403748404,4.45233514197101,2836.90803920039,965.443893283714,-2115.533762309
"LBY",2.984,99.1124766836661,7.85580787664505,2563.1535813,-1395.26255728727,-967.369591954591
"LCN",30.6309951136963,76.6842257409605,2.72473109251449,2105.09179472034,1199.9635471594,789.615416627225
"LDC",70.6939429550982,27.2091131229185,0.338830462440221,187.63179260969,105.35734466694,-130.245341606228
"LKA",46.844,47.1319354562667,1.04588355825075,496.577237662882,159.81762981573,-374.655833204561
"LMC",32.5855244358906,69.5681245172751,1.62048201847687,752.431472997832,-371.222045115218,-284.945300377827
"LMY",22.404053979032,82.3283784849853,3.30292322099558,1777.85025658165,1016.70502848489,654.420989298846
"LTE",14.8540848568191,84.7593459863754,6.52631610749888,3381.91762014426,1723.61255555855,-1245.60355633191
"LTU",32.844,74.2975094170234,4.08341496509642,3618.64479479549,1189.00882610385,-2727.22821075601
"LUX",16.422,84.524861461906,14.6826709996698,16829.9625409062,-9470.30710722998,-6123.1861767989
"LVA",41.456,60.4854858651267,3.79017079100791,3412.37663068379,1920.69713097233,1331.5246395641
"MAR",10.774,88.3155215392893,1.8108261698023,850.371495928822,397.821964346207,-342.711275442511
"MDA",24.564,89.4175673328588,3.12173683349645,1853.39697851944,633.465231351061,-1379.02361212168
"MEA",1.73291548729377,97.5681753528344,5.51644895108089,2675.47050014993,-1461.09781644761,-1006.18868732482
"MEX",10.394,90.5594697548811,3.60470065135357,2187.07162891909,1238.58760998959,819.472337111292
"MIC",20.5439785285859,83.2148499749326,3.63413492598886,1873.13108430187,938.092001606437,-712.352057973565
"MKD",19.71,81.1856289643336,3.48048678839674,3660.01795177736,1213.24280959862,-2750.82434902428
"MLT",8.13,99.6724695817513,3.16793991134723,4895.32388898019,-2713.98205363429,-1805.62641862831
"MMR",61.532,28.8105040774437,0.588055120402545,171.067182551729,135.354686578798,25.8506503258541
"MNA",2.66373103626969,97.9943973076872,3.54055028140938,1606.74480208053,785.034143840955,-609.156643560596
"MNE",40.112,63.0126747761253,3.8732115147152,5152.74878756332,1672.24578324752,-3897.7924782315
"MNG",3.428,93.2332309066111,6.54448388778412,1713.10243657899,-917.25489665151,-656.572048936039
"MOZ",79.288,9.39269735752784,0.243460891421533,466.376338886274,301.407441070942,154.966288076605
"MUS",9.458,83.1145569318194,3.1990454360121,2085.19944008744,1044.90669773873,-779.731747878636
"MYS",5.278,96.7656353023546,7.33786668700268,4262.30802302982,1425.83686297969,-3197.36861939511
"NAC",11.6022386776975,82.1001615236996,14.6257823432914,13359.4623405124,-7509.44990216339,-4868.71697118752
"NAM",30.36,66.6245603212285,1.78707315981392,1660.31342121488,951.841581032374,616.040678962849
"NER",81.376,25.1555927337979,0.0913443529951655,47.6553222414131,36.8419315970684,-87.7742958487655
"NGA",81.86,18.6796752682009,0.569261579181213,143.749418987683,10.5127987108371,-131.202910010653
"NIC",50.548,43.9983279692917,0.7794949084429,547.361262787483,-258.819510033627,-193.66251324417
"NLD",7.77,91.8713608848544,9.30689240374546,6897.92070698195,3832.22420138292,2741.17625778308
"NOR",59.904,58.3797331849314,7.56103855960786,23855.8226455066,12428.0280158529,-8572.90704583027
"NPL",76.324,13.9871978122007,0.475435730169634,122.813880570344,4.27317795305095,-115.206344635352
"NZL",28.792,60.48481222253,6.61200534818173,9601.90314202312,-5386.50513891947,-3488.53005229248
"OED",13.4571233050831,80.4777563961898,8.95252463284203,8021.66982524785,4451.41792235262,3206.83513508692
"OMN",0.016,99.9907908273815,16.1319356847964,6094.02150062194,3129.51217315896,-2203.3543799451
"PAK",44.326,60.0623661889623,0.850385357760648,409.946246944344,140.393373600423,-302.697222258918
"PAN",23.496,81.0312619015695,2.56563241097457,1929.61219831382,-1036.40583311837,-719.333911531846
"PER",28.288,74.9178385635615,1.67459243458471,1241.0543819008,722.29226320589,439.313357156704
"PHL",27.918,60.6645988525624,1.23913276426421,659.668539656466,319.251934628919,-277.918385916111
"POL",13.856,90.9238812196762,7.89558917581671,3897.17320014314,1300.54713375244,-2926.15327621882
"PRE",73.0943312647966,30.5172071318821,0.504421221882679,239.994464414506,-79.4900045890939,-68.2409642198198
"PRK",14.49,63.3808549158976,1.87484125676443,738.826809136273,434.317619531387,247.811203064394
"PRT",28.058,74.9310877867526,4.56299201495133,4959.09430535983,2554.63062197912,-1815.44687836983
"PRY",60.676,33.470550184777,1.21536633922828,1478.25153114287,460.450471653061,-1129.76078589667
"PST",13.0941825579062,80.0061199780732,9.49374678949162,9223.91029922779,-5170.05882074114,-3367.34227188871
"QAT",0.06,100,32.1782439657016,16173.6179215106,8932.9807168112,6517.51506978415
"ROU",23.676,75.0334897291418,3.73278385736263,2574.61711363375,1309.51759812835,-961.949424828877
"RUS",3.346,90.7917100358146,11.2897359244506,6530.93048209707,2155.75368124356,-4920.94892243853
"SAS",35.6073271951881,70.0600797211239,1.43606077727748,630.911066925981,-300.560660148741,-239.78420634215
"SAU",0.024,99.6419803235358,16.795103103967,8085.18159836369,4481.16523274799,3220.19324957217
"SDN",59.948,31.2697602859859,0.546080394961862,215.133763384401,114.053228840391,-133.290489716775
"SEN",37.238,49.0866791255831,0.681052771836786,216.163670964729,75.9048806508892,-157.598119081487
"SGP",0.8,95.2607204936194,8.01509945279395,8706.20555908509,-4876.26644041774,-3189.39198197635
"SLV",22.398,47.7257464204749,1.10324346685394,921.294684472317,534.461923229877,331.658313497109
"SRB",21.9,87.0925709921903,6.66153637237027,4390.17704267566,2250.30652243365,-1611.3850268757
"SSA",68.8650111187603,39.1074467966522,0.728205553812236,493.946524949856,141.913267185853,-383.791131590842
"SSD",32.026,71.5556974117679,0.161467385319268,40.0813671605866,32.3277832509014,-27.0680619103507
"SSF",68.8470066982143,39.1074467966522,0.728677926462777,493.946524949856,320.455201349419,147.239807364214
"SUR",14.89,78.4305589723901,4.31367101284507,3266.7113344291,1665.92221476294,-1203.15038028001
"SVK",14.646,65.9612443838619,5.80824071995075,5205.25225214231,1706.19396955811,-3927.8821511716
"SVN",20.912,62.9088031274308,6.56626539773411,6698.03415783659,-3745.59797101798,-2442.03984526292
"SWE",53.108,34.2141870452598,3.89911000460038,14120.9246675365,7823.51454417317,5720.42967096114
"SYR",1.068,99.0816824584202,1.33275939604771,1744.01298834613,854.254642143445,-658.205465909321
"TEA",15.4661271918209,85.795008484735,5.81050807944919,2738.97590149106,923.004964211036,-2049.7573672349
"TEC",7.34158226934502,89.0069742843562,7.07974110404571,4175.99381831929,-2311.47532102866,-1544.87711800033
"TGO",77.72,18.8698862865136,0.282500488913828,137.391377247261,122.197989378846,13.972846360856
"THA",22.632,80.171020401352,3.76881886537442,2371.78391314923,1200.54244739266,-890.650364393409
