"","Gasto público en educación, total (% del gasto del gobierno)","Tasa de alfabetización, total de adultos (% de personas de 15 años o más)","Proporción alumnos-maestro, nivel primario","Inscripción escolar, nivel primario (% neto)","Inscripción escolar, nivel secundario (% neto)","Maestros capacitados en educación de nivel primario (% del total de maestros)","pc1_educacion","pc2_educacion"
"GEO",13.6129369735718,99.5749893188477,8.983818,98.184348,92.818688,94.9888534545898,-44.0901088394248,-125.132834003271
"GHA",14.3692163467407,80.379997253418,31.25587,86.298144,56.39373,62.0335777282715,140.652367751265,-59.5876777423999
"GIN",13.0033807754517,42.473840713501,45.1263725,75.01974,31.11789,74.1859710693359,-12.1837114568537,-115.674214666959
"GMB",13.9678775787354,58.6699981689453,39.16051,73.432836,13.9217125,90.1746200561523,126.742080612708,-42.2084783557878
"GUY",17.8993240356445,90.0299987792969,23.1645,91.740818,81.7551666666667,78.6898193359375,-4.46739701064269,-161.392410322948
"HND",23.1551094055176,88.1517448425293,29.14566,79.262268,42.090998,87.2134399414062,150.1768931404,-57.5358642534866
"HPC",15.4003196716308,64.5355865478516,39.875108,80.59165,32.307174,75.0641403198242,5.66548542658919,-91.4548167445232
"HRV",10.6539274215698,99.4499969482422,13.658658,88.404362,92.440718,100,170.163443696183,-78.4259855066848
"IBD",14.8331604003906,89.2387268066406,21.84115,94.217626,73.211394,88.5500732421875,22.371164782879,-101.176498954486
"IBT",14.7562610626221,84.5484573364258,25.210406,88.500544,62.974894,84.8258285522461,151.457488065738,-67.0634293272644
"IDA",14.8849060058594,68.0405563354492,35.884044,69.722308,40.638494,74.5280563354492,-16.2005944986205,-109.037698669393
"IDB",15.2323766708374,66.7830505371094,34.333474,69.550412,43.349816,72.0493743896484,129.618600173691,-50.0322820631109
"IDX",14.8997398376465,68.6541687011719,36.581416,81.45157,39.251128,75.4176132202148,-0.809868174453956,-94.2238414043878
"IND",14.4784979820252,76.3227767944336,32.612754,91.161954,61.63147,82.2675075531006,151.569920992252,-66.0189871194788
"IRN",20.9613422393799,88.9599990844727,26.838624,99.453046,79.2738325,100,18.9076962661111,-117.488607333369
"JOR",9.74868988990784,98.4199981689453,18.7119675,79.2385866666667,64.24444,100,155.43334366931,-68.0272097610861
"KAZ",19.09172706604,99.8000030517578,18.47215,86.871586,99.27734,100,-15.69285744774,-189.595094868797
"KEN",17.9213333129883,82.879997253418,56.5747,76.8894333333333,43.977348,100,162.317743459665,-64.9004647530153
"KGZ",20.0823017120361,99.5999984741211,25.287078,89.66989,82.098394,96.4254837036133,-30.425209768727,-119.173905874557
"KHM",16.9296493530273,83.7799987792969,43.211262,92.776754,33.48972,99.8565765380859,155.440269515778,-69.1241828259508
"KOR",13.9152900695801,98.8000030517578,16.500836,96.657792,97.957748,100,38.0369273281,-102.944697870113
"LAC",15.4829072952271,93.9477355957031,22.25158,93.658742,76.853262,83.4358520507812,160.343969420851,-75.0237705964137
"LAO",10.7073553085327,87.5199966430664,25.1565,96.5434,57.40428,96.3207015991211,-12.6591060659459,-141.1691984362
"LBR",10.9023572921753,48.3013610839844,25.1977275,41.32226,16.961,70.1700210571289,90.9031270608251,-37.8814414667655
"LCN",14.9422552108765,94.2309341430664,21.96339,93.567164,77.094594,79.8865020751953,-35.3541091394281,-118.418459273831
"LDC",14.1321209907531,66.0258331298828,37.729902,81.56356,37.47736,73.6207748413086,131.121613322603,-56.7743847324449
"LIC",15.0806416511536,61.3510536193848,40.08754,80.8042533333333,33.557276,73.8367691040039,-4.94485917172311,-109.801422000427
"LKA",6.79603362083434,92.1339736938476,22.92959,98.658102,90.04006,84.4237991333008,163.843346555548,-77.3822132051483
"LMC",14.7573926925659,76.7719421386719,28.563158,86.61414,58.526342,80.5959777832031,-9.28423428119196,-130.839942084824
"LMY",15.0665544509888,84.3716232299804,25.324214,88.484546,62.932524,85.2292556762695,156.612745989027,-56.5986203646034
"LSO",13.9014802932739,82.0100021362305,33.03955,89.247596,40.929442,76.2094512939453,-9.43937530000433,-103.531556381321
"LTE",13.4491067886353,96.3883239746094,17.079704,96.307584,82.78568,96.4106521606445,170.123047425563,-75.4354246859583
"LTU",13.0375387191772,99.8300018310547,13.006,98.14393,97.701996,91.8836776733398,38.9473650384093,-92.4961601703673
