"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2024-03-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"China","CHN","Maestros capacitados en educación de nivel primario (% del total de maestros)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Côte d'Ivoire","CIV","Maestros capacitados en educación de nivel primario (% del total de maestros)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.4398803710938","99.0568237304688","","100","","","","100","100","100","","100","99.3844299316406","82.8079376220703","84.9443817138672","100","100","100","100","100","100","100","100","",
"Camerún","CMR","Maestros capacitados en educación de nivel primario (% del total de maestros)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68.057991027832","68.5339965820312","62.7408485412598","61.7700996398926","","","","57.3935203552246","67.149543762207","78.7775115966797","","","","","81.2397918701172","","","53.4136543273926","81.6537628173828","81.8988571166992","",
"Congo, República Democrática del","COD","Maestros capacitados en educación de nivel primario (% del total de maestros)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96.0239791870117","93.267448425293","93.3934020996094","91.66748046875","89.8531112670898","93.084342956543","94.0725860595703","94.6235275268555","","","","91.9996490478516","","","100","","",
"Congo, República del","COG","Maestros capacitados en educación de nivel primario (% del total de maestros)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","64.5529403686523","","","57.1117897033691","62.1705894470215","","88.996452331543","","","","86.777717590332","79.3237533569336","80.3170623779297","","","","","","","","","","","",
"Colombia","COL","Maestros capacitados en educación de nivel primario (% del total de maestros)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","97.2832717895508","98.2308807373047","94.0251388549805","94.8545532226562","94.7218780517578","","97.4947891235352","98.6505508422852","98.0253219604492","","",
"Comoras","COM","Maestros capacitados en educación de nivel primario (% del total de maestros)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.4219818115234","","","55.1535301208496","","","","","","50.75439453125","","","","","","",
"Cabo Verde","CPV","Maestros capacitados en educación de nivel primario (% del total de maestros)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67.157958984375","69.3799667358398","72.7043228149414","77.8056411743164","81.4641723632812","82.9337463378906","84.7062606811523","86.4583282470703","90.0299072265625","92.0928726196289","94.5872802734375","","96.0202407836914","","93.2554321289062","93.4350128173828","98.5540618896484","98.9007415771484","","","","",
"Costa Rica","CRI","Maestros capacitados en educación de nivel primario (% del total de maestros)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87.1756210327148","","89.5443496704102","88.2072677612305","","97.4254302978516","96.7872772216797","88.0431289672852","89.4650802612305","86.046257019043","87.6003875732422","89.4832534790039","91.4480209350586","","93.9754333496094","93.9805908203125","93.9088134765625","93.7558212280273","93.5264663696289","94.3639907836914","94.5271530151367","94.2682113647461","","","",
"Estados pequeos del Caribe","CSS","Maestros capacitados en educación de nivel primario (% del total de maestros)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75.7549209594727","73.376708984375","74.5617218017578","74.9787826538086","75.7915573120117","76.9118804931641","75.1657867431641","75.3766326904297","75.6040802001953","75.8780822753906","74.5744476318359","74.3934478759766","75.1154632568359","76.4799194335938","77.0069198608398","75.7229232788086","83.9924087524414","83.9926681518555","84.1132965087891","83.1486434936523","84.1760177612305","84.9953918457031","85.3995895385742","83.4687271118164","84.7149124145508","",
"Cuba","CUB","Maestros capacitados en educación de nivel primario (% del total de maestros)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
